,keyword,pos,weight
44,重要,a,0.006423153812371698
66,不同,a,0.005340101708372717
103,成功,a,0.00459286840945221
143,一般,a,0.004108467823908556
161,容易,a,0.0038446969233014434
173,最大,a,0.0037053566481029254
181,微软,a,0.003554688793264618
213,健康,a,0.0033207322436683132
229,有效,a,0.00318236902573772
235,最好,a,0.0031488417649165558
262,很大,a,0.0029536597102389063
324,明显,a,0.002642717972157833
342,具体,a,0.002516551282957723
353,严重,a,0.002460386386683439
381,简单,a,0.002370169822046432
394,先进,a,0.0023236335267540235
426,根本,a,0.0022164869123413545
449,最高,a,0.0020957529494518745
452,良好,a,0.0020669717548521174
453,巨大,a,0.0020648932078889118
475,连续,a,0.00200492632601007
477,著名,a,0.0020042776039153553
484,重大,a,0.00197806229320909
502,不错,a,0.0019317767726546838
509,优秀,a,0.0019112851224719488
517,稳定,a,0.0018910836956557546
533,紧张,a,0.0018403956095397252
536,平均,a,0.001829895573872822
553,自由,a,0.0017970395563553178
555,不足,a,0.0017957782054067988
557,重新,a,0.0017949240907944872
563,丰富,a,0.0017797577138773714
583,合同,a,0.001726152728617118
591,快乐,a,0.001714657982593684
597,成熟,a,0.001703046647386365
616,清楚,a,0.0016605195629238797
652,年轻,a,0.0016043151745574614
654,特殊,a,0.0015980081644549713
698,准确,a,0.0015281218228710976
701,强大,a,0.0015245220594839104
737,很好,a,0.0014440622419981792
741,强烈,a,0.0014377996071167653
768,完整,a,0.0014055158971587813
772,激烈,a,0.0013967818738859737
796,尊重,a,0.0013401289791727515
807,轻松,a,0.0013290054287658864
849,复杂,a,0.0012901212853314002
855,充满,a,0.0012874720872501056
868,有限,a,0.001270347838982454
899,广大,a,0.0012350167446389187
905,适当,a,0.0012301228165241976
959,落后,a,0.001168270365903376
983,较大,a,0.00114521820984115
1002,广泛,a,0.0011214749585018655
1017,伤害,a,0.0011038154249200318
1047,幸福,a,0.0010722539154440398
1048,合适,a,0.0010716481453801306
1057,方便,a,0.001067633220021285
1116,固定,a,0.0010142235875588575
1129,最低,a,0.0010084738058197833
1134,极大,a,0.0010061777652067845
1140,不久,a,0.0010028565227340209
1168,虚假,a,0.0009810409773665988
1209,完美,a,0.0009515506257822493
1228,和谐,a,0.0009366597376100604
1231,平衡,a,0.0009353282589473942
1250,常见,a,0.0009161898631472685
1274,神秘,a,0.0008988964812468112
1324,独特,a,0.0008613207354374314
1325,意外,a,0.0008608752387493045
1370,不满,a,0.000835162321239032
1375,漂亮,a,0.0008334198919550728
1385,伟大,a,0.0008283825737310361
1393,敏感,a,0.0008237141567365641
1425,便宜,a,0.0008026845741809856
1429,浪漫,a,0.0008005391978116431
1445,落实,a,0.0007933742939504518
1510,聪明,a,0.0007596758114141054
1514,疯狂,a,0.0007590999411712193
1550,疲劳,a,0.0007421701226295475
1554,一大,a,0.0007403721657372507
1567,较好,a,0.0007349554704297661
1587,单纯,a,0.0007282387221216826
1683,尴尬,a,0.0006930066330663044
1703,清晰,a,0.0006846809765144655
1731,遗憾,a,0.0006746412612501414
1773,轻易,a,0.000660089288202237
1777,平等,a,0.0006589460167301687
1778,美好,a,0.0006586620508729249
1831,正规,a,0.0006413641171052822
1887,有利,a,0.0006234253927080635
1889,显著,a,0.0006230276678603758
1901,配套,a,0.0006191713952532363
1904,精确,a,0.0006186091591389883
1922,焦虑,a,0.0006120211633791015
1929,不宜,a,0.0006087446028800564
1951,不利,a,0.0006019149058572046
1977,紧急,a,0.0005941598106184993
1984,庞大,a,0.0005929782993562447
1989,清洁,a,0.0005922701451329957
1991,频繁,a,0.0005919724675710142
2021,正好,a,0.0005858266178480476
2030,不良,a,0.0005839472471819539
2040,较高,a,0.0005816166365383767
2042,灵活,a,0.0005802477604909792
2057,乐观,a,0.0005770218149503103
2070,困惑,a,0.0005728420118023554
2089,干净,a,0.0005669709553445452
2154,不幸,a,0.0005474444979551845
2160,最多,a,0.000546385297345114
2268,惊人,a,0.0005239553393960947
2269,乐趣,a,0.0005238611791394424
2275,平常,a,0.0005222832407142812
2288,强劲,a,0.0005199232513454368
2299,艰难,a,0.0005182406373581134
2305,详情,a,0.0005165658275844025
2313,豪华,a,0.0005151527576459587
2335,均衡,a,0.0005108617841270588
2341,冷静,a,0.0005099510777250047
2354,辉煌,a,0.0005074644341627811
2375,热爱,a,0.0005032049199802444
2398,辛苦,a,0.0004987419050566434
2454,爱好,a,0.0004876605195972343
2473,不小,a,0.00048412760179559274
2485,耐心,a,0.00048074784357825555
2486,正当,a,0.0004806583899917689
2540,有趣,a,0.00047280905708593085
2554,骄傲,a,0.00047017526002622915
2565,幸运,a,0.00046834529271089405
2570,舒适,a,0.00046775906110806863
2603,混乱,a,0.0004621074400151001
2605,孤独,a,0.0004618043193415769
2620,烦恼,a,0.00045874464587964086
2621,艰苦,a,0.00045837703490900276
2631,激动,a,0.0004561326185201327
2633,充足,a,0.00045589627244991876
2677,谨慎,a,0.00045006398118750993
2684,不适,a,0.0004492183340197525
2702,愉快,a,0.0004457106540248315
2710,广阔,a,0.00044431620889498794
2738,紧密,a,0.0004395474465912066
2744,残酷,a,0.00043785402629638364
2754,繁荣,a,0.00043631713514244544
2780,详见,a,0.0004325799206148736
2786,贫困,a,0.0004316244249591997
2790,平静,a,0.0004309211029187549
2791,很强,a,0.00043084804153566017
2803,舒服,a,0.0004286220575146021
2805,高效,a,0.0004282654800178829
2812,严峻,a,0.0004276342125135475
2835,糟糕,a,0.00042537106545092605
2876,坚定,a,0.00041833217637847524
2930,高低,a,0.00041303339184972166
2950,神奇,a,0.0004101831394284716
2954,尊严,a,0.00040994295431229667
2959,干燥,a,0.00040911273147325235
2977,绮思,a,0.0004074210114804886
2978,平遥,a,0.0004073064488960133
2981,严肃,a,0.00040694690125406475
2996,火爆,a,0.00040434290209789305
3019,清醒,a,0.00040073570988792534
3032,健全,a,0.00039937828694348865
3056,勇敢,a,0.00039646561178612776
3108,热烈,a,0.0003892281022745218
3116,珍惜,a,0.00038753899721427436
3117,昂贵,a,0.00038736147468512716
3153,很小,a,0.0003820717298000965
3161,模糊,a,0.00038139258719426254
3163,扎实,a,0.0003810624048954276
3166,沉默,a,0.0003805949167625
3180,宽容,a,0.000378699570284867
3187,不易,a,0.00037803680664958897
3189,郁闷,a,0.00037774143398897005
3200,亲密,a,0.0003764414530600328
3206,无效,a,0.0003758612859549351
3238,易趣,a,0.0003726647331174289
3255,鲜明,a,0.00036974599869447834
3259,纯粹,a,0.00036924732754807835
3315,友好,a,0.0003640488197063458
3327,愚蠢,a,0.00036227770290279244
3351,珍贵,a,0.0003601463489278928
3388,适宜,a,0.0003571031263203231
3397,丰厚,a,0.0003567410960112929
3402,厉害,a,0.00035649999985284595
3409,沉重,a,0.00035576647310387767
3421,寂寞,a,0.0003542024510272673
3443,旺盛,a,0.0003513548688109629
3446,真诚,a,0.0003510703935071496
3458,有名,a,0.0003494992156338047
3473,紧缺,a,0.0003479288070779713
3486,肥胖,a,0.0003465928051857733
3491,惊讶,a,0.0003461273792630762
3493,罕见,a,0.000346020303909961
3513,恶劣,a,0.00034431710742241766
3516,恐怖,a,0.0003434238484838585
3540,强迫,a,0.0003406570040129312
3543,慎重,a,0.0003403892194501345
3584,热闹,a,0.00033647462188135345
3587,幽默,a,0.0003363960219161896
3623,忙碌,a,0.00033243869122951916
3677,清单,a,0.0003273396805065789
3679,温柔,a,0.00032716465718398937
3691,顽强,a,0.00032626582777672657
3731,很高,a,0.0003221674229444758
3808,充当,a,0.00031512842792817545
3812,清理,a,0.0003142477997089635
3818,较低,a,0.000314052871492467
3823,衰老,a,0.00031356545282016415
3838,脆弱,a,0.0003121868533343681
3887,惊喜,a,0.00030842084869949
3932,沮丧,a,0.0003045153611783968
3934,有害,a,0.0003043180915753993
3951,团结,a,0.00030276743380165975
3985,薄弱,a,0.000300396440553993
3988,便利,a,0.0003002326783538705
4005,细致,a,0.00029924655719910036
4017,优雅,a,0.00029854118571599416
4021,较强,a,0.00029815794033823773
4032,短暂,a,0.0002972603211899799
4081,严谨,a,0.00029331833994388775
4091,杰出,a,0.0002924661910066907
4099,不安,a,0.0002919400572591316
4109,极限,a,0.00029144861541067216
4137,精美,a,0.00028939027410029085
4160,疲惫,a,0.0002875540123808483
4164,失衡,a,0.00028729939962262484
4182,紊乱,a,0.0002856512467076781
4183,老大,a,0.0002855992304172946
4187,优美,a,0.0002852025660553333
4209,熟练,a,0.000283691539736294
4211,重心,a,0.0002836051183460935
4212,抑郁,a,0.00028358345370995975
4251,深厚,a,0.00028112983433887774
4284,适度,a,0.0002785302364130202
4294,温和,a,0.0002779109622278245
4307,欢乐,a,0.00027733234601277874
4315,平稳,a,0.00027684683729204513
4318,巧妙,a,0.0002766257537051523
4328,无聊,a,0.000275938247694572
4346,踏实,a,0.00027491904713898004
4347,重建,a,0.0002748935566691077
4395,成效,a,0.00027187852411376603
4397,悲哀,a,0.00027166477953713354
4426,犹豫,a,0.000269674849405375
4441,繁忙,a,0.0002683879080600295
4475,严密,a,0.00026632440470106364
4486,复兴,a,0.0002656602270554547
4519,可观,a,0.0002636017950822361
4520,奢侈,a,0.0002635722612718456
4569,稳健,a,0.00026000946149566255
4600,优异,a,0.0002584255128177333
4606,浓厚,a,0.0002578757491569951
4625,平和,a,0.000257015766219334
4634,遥远,a,0.0002565717404963123
4679,隐蔽,a,0.0002541539893149393
4720,便秘,a,0.0002518761761415828
4733,最小,a,0.00025154464970519874
4751,愉悦,a,0.00025053463194774105
4777,强硬,a,0.0002492221895876128
4788,忠诚,a,0.00024877986081892636
4816,好奇,a,0.00024704709012800247
4847,富裕,a,0.0002454468390025788
4855,狂热,a,0.00024504065192030195
4869,灵感,a,0.0002444684945775515
4882,诚实,a,0.00024359199990192193
4888,着重,a,0.0002431164407828173
4904,最强,a,0.00024209141317665416
4939,最长,a,0.00024027372893652363
4969,着急,a,0.00023837082602581295
5017,亲切,a,0.00023604968327021154
5019,头疼,a,0.00023585404353762793
5049,善良,a,0.00023401550455178502
5056,艰辛,a,0.00023373476083897733
5142,饱和,a,0.00022990238962290076
5161,凸显,a,0.00022934601287893762
5184,精密,a,0.00022834541753360383
5189,封建,a,0.0002281624906389587
5249,较差,a,0.0002255017053979268
5252,灿烂,a,0.0002253866047526552
5253,忠实,a,0.00022532063696300303
5275,不大,a,0.00022429675589499294
5294,辽足,a,0.00022334335850515862
5325,吃惊,a,0.00022166920102676554
5339,敏锐,a,0.0002208998607603854
5401,持久,a,0.00021837147987486288
5434,利好,a,0.00021711034817721141
5458,谦虚,a,0.00021596865401636792
5460,枯燥,a,0.00021586145993955167
5463,喜悦,a,0.00021575643449751273
5478,繁华,a,0.00021552101332594366
5482,优越,a,0.0002153349716027603
5503,壮观,a,0.00021462312939312498
5508,美妙,a,0.0002143077190327226
5672,便捷,a,0.0002068985268405662
5674,快捷,a,0.00020685237398698444
5681,剧烈,a,0.00020665950692230807
5696,勤奋,a,0.00020606237744513628
5704,不好意思,a,0.00020589786806128079
5739,精致,a,0.00020490880351906287
5746,苛刻,a,0.00020456905556593343
5759,空缺,a,0.00020398143288674508
5772,浓郁,a,0.00020344079213491234
5814,最美,a,0.00020215098789187077
5828,浮躁,a,0.00020159378627686268
5852,宽松,a,0.00020060110362510482
5865,精通,a,0.0002001758512800137
5878,致富,a,0.00019952297314622795
5900,清新,a,0.00019897570204598208
5921,牢固,a,0.00019830584541249253
5953,完好,a,0.00019733470927809163
5958,隆重,a,0.0001972218633748741
6009,细腻,a,0.00019550293522370941
6010,平安,a,0.00019550239360247094
6040,兴趣爱好,a,0.00019477618474287087
6051,狭窄,a,0.00019457434859268115
6115,高贵,a,0.00019281936998576013
6128,快感,a,0.0001924443480474993
6158,苦恼,a,0.00019160733086427892
6172,短缺,a,0.00019101890695438092
6196,曲折,a,0.00019021431918424963
6203,悠久,a,0.000190043330554573
6246,低廉,a,0.00018862828514070755
6251,详尽,a,0.00018850140308447407
6331,平凡,a,0.00018623583404890783
6334,得体,a,0.0001861818120081394
6357,迫切,a,0.0001852292074256849
6404,潇洒,a,0.00018392361335038497
6421,微妙,a,0.00018352050839283632
6495,惊奇,a,0.0001808689213126818
6501,模特,a,0.0001807700050600975
6515,贫穷,a,0.00018029337199471635
6527,猛烈,a,0.0001797927120625312
6589,深远,a,0.00017800603036744958
6651,畅通,a,0.00017635782084573774
6674,懒惰,a,0.00017568641178375118
6687,壮大,a,0.00017530516494486856
6709,著称,a,0.0001746563326809784
6710,不俗,a,0.00017464686363017734
6720,幼稚,a,0.0001744674274322194
6724,活泼,a,0.0001743313235041691
6788,极易,a,0.00017222701008436827
6793,奢华,a,0.00017210582018259624
6834,良心,a,0.00017122401591702945
6855,干活,a,0.0001706605301074953
6885,有幸,a,0.00016988284403097274
6895,尖锐,a,0.0001696437343006071
6898,野蛮,a,0.0001695342366634769
6922,奇观,a,0.00016890041002288374
6956,过硬,a,0.00016799482189738558
6961,稀缺,a,0.00016789270280175117
6990,简洁,a,0.00016695246593833387
6992,苦苦,a,0.0001668681649510815
7018,精良,a,0.00016631195855334606
7030,苦难,a,0.0001661003971651897
7032,粗糙,a,0.00016604117905032095
7044,苦练,a,0.00016587086369496823
7070,平淡,a,0.00016503444885271798
7097,深感,a,0.00016430099901546097
7131,繁重,a,0.0001635503244280209
7150,稳固,a,0.00016303688365615666
7164,悲伤,a,0.00016247410569017551
7191,甜蜜,a,0.00016186843426487383
7196,高大,a,0.00016160259961752415
7228,有大,a,0.00016101497938743992
7240,执著,a,0.0001607947609753803
7243,惬意,a,0.00016077223664363448
7258,审慎,a,0.0001604449827020612
7302,均匀,a,0.00015922279609474003
7305,整洁,a,0.00015922165747635973
7311,不菲,a,0.00015910551765166116
7314,固执,a,0.00015905681471037225
7327,圆满,a,0.0001587219382361803
7345,虚高,a,0.0001584179635908683
7353,瘙痒,a,0.00015821845051517495
7362,舒畅,a,0.00015791214017101752
7384,流畅,a,0.00015759757252619495
7385,新颖,a,0.00015759437998344005
7397,疲软,a,0.00015737982511117638
7410,友善,a,0.0001570296063646372
7422,悲观,a,0.00015681325825164756
7444,亲爱,a,0.00015588749761610168
7500,缓和,a,0.00015478735206724087
7512,松弛,a,0.00015462760557393646
7528,诚意,a,0.00015422648809174607
7550,激活,a,0.0001537866330421129
7563,坦诚,a,0.00015352678695571042
7585,深足,a,0.00015322393199772508
7588,乏力,a,0.00015311674997718795
7606,烦躁,a,0.00015274368115860657
7609,寒冷,a,0.0001526738970127329
7646,纯洁,a,0.0001521994887849531
7647,荒唐,a,0.00015219843616417326
7665,精锐,a,0.0001519087618568883
7750,明亮,a,0.0001499150668809049
7754,欣喜,a,0.0001498250480795634
7785,坚固,a,0.00014910673552536664
7786,寻常,a,0.00014909997505925678
7799,冷淡,a,0.00014875708223676383
7876,琐碎,a,0.00014726092322372506
7879,虚伪,a,0.0001472132455941764
7894,柔软,a,0.00014685130918866171
7959,连同,a,0.0001458555560536323
7960,雄厚,a,0.00014584739428234834
7986,最合适,a,0.0001453438651477395
7992,强悍,a,0.00014523587981879842
7999,滑稽,a,0.00014495232867068873
8012,漂流,a,0.00014482681734958902
8026,忧郁,a,0.00014445839514002544
8043,乏味,a,0.0001441590240474654
8101,容忍,a,0.0001429589368963765
8167,炎热,a,0.00014171617463216917
8231,极高,a,0.00014058762404385925
8234,傲慢,a,0.00014046754238079836
8237,优劣,a,0.00014043404878307187
8273,惨烈,a,0.00013990351861374226
8349,耀眼,a,0.00013860715669771344
8352,亮丽,a,0.00013858037331351987
8367,充裕,a,0.00013813728130222835
8431,稳重,a,0.0001371088156226366
8471,各异,a,0.0001362952748192644
8500,敏捷,a,0.0001358364191534824
8510,细微,a,0.0001356332637761583
