,keyword,pos,weight
176,直接,ad,0.0036698232722548385
179,完全,ad,0.003609663556199646
275,努力,ad,0.0029164146623960004
291,正式,ad,0.002833256683476871
377,积极,ad,0.0023854749367919637
385,公开,ad,0.002350277574324677
443,明确,ad,0.0021202252461933416
505,正确,ad,0.0019248818684634772
528,充分,ad,0.0018534874789372167
538,确实,ad,0.0018271141588269907
543,迅速,ad,0.0018170860984382323
679,突然,ad,0.0015642942606904331
711,显然,ad,0.0014980329445290579
780,严格,ad,0.0013875965522628974
791,详细,ad,0.0013478384774469633
806,认真,ad,0.0013295096577930778
847,普遍,ad,0.0012904481967374937
891,顺利,ad,0.0012447319526801529
953,彻底,ad,0.0011753792770946572
1502,坚决,ad,0.0007632063697456026
1585,仔细,ad,0.0007286540405165588
2078,正面,ad,0.0005712157259981088
2397,密切,ad,0.0004988663530590291
2987,切实,ad,0.00040565429289520427
3436,积分,ad,0.00035287075449949394
3718,严厉,ad,0.00032311382264026166
3830,适时,ad,0.000313005019599059
3847,充实,ad,0.00031148307847719586
3976,确切,ad,0.0003008029002262761
4334,坚实,ad,0.00027560978485741984
5678,公然,ad,0.00020676080774979357
5688,顺便,ad,0.00020653611784379413
6797,坦然,ad,0.00017202950608048275
7478,迅猛,ad,0.00015524773095792102
8813,及格,ad,0.0001309054207332134
10787,全然,ad,0.00010476608373254585
12293,仓促,ad,9.08203517984494e-05
12861,直面,ad,8.612739597916352e-05
13731,大全,ad,8.004035201013366e-05
13978,懦弱,ad,7.842144930428169e-05
14084,踊跃,ad,7.787016422711155e-05
17151,勤勉,ad,6.171673475469508e-05
17422,详实,ad,6.0435769096040624e-05
18462,明细,ad,5.64174954744789e-05
21445,壮胆,ad,4.670981827323658e-05
23167,紧接,ad,4.192827856296099e-05
25326,全速,ad,3.71276922939362e-05
25415,全真,ad,3.686019193221516e-05
27724,慌忙,ad,3.2756599272126276e-05
28339,切开,ad,3.173393190193669e-05
32129,确确实实,ad,2.6580346164525182e-05
40672,切切,ad,1.830590781555116e-05
43100,过细,ad,1.70201563532323e-05
44307,切利,ad,1.6020659751945952e-05
45191,稳胆,ad,1.558209477942967e-05
47763,切分,ad,1.4351063703310102e-05
49707,果决,ad,1.3156751139179075e-05
51289,全切,ad,1.2985078982858059e-05
53859,顺心,ad,1.1791783727592834e-05
53984,仓惶,ad,1.1692971623873546e-05
60167,全开,ad,1.0078131449571403e-05
64117,小开,ad,8.607486158038491e-06
64448,普利,ad,8.5967951630395e-06
64649,密密,ad,8.41242668250468e-06
65629,公决,ad,8.155754869244065e-06
66066,详略,ad,8.010329875972976e-06
66453,密接,ad,7.891509004814185e-06
67498,普心,ad,7.791047389714835e-06
70284,及全,ad,7.791047389714835e-06
75703,严实,ad,6.435853523227288e-06
80183,切细,ad,5.437169912829377e-06
82851,完便,ad,5.194031593143223e-06
83212,认全,ad,5.194031593143223e-06
95696,盲动,ad,4.925075362497668e-06
95960,正切,ad,4.892877400613607e-06
97321,积弱,ad,4.737911532212638e-06
98261,切面,ad,4.591723208040543e-06
102465,隆然,ad,3.019739148966029e-06
103525,过切,ad,3.019739148966029e-06
109138,直开,ad,2.7185849564146884e-06
113360,普底,ad,2.5970157965716117e-06
113533,大慨,ad,2.5970157965716117e-06
114165,彻力,ad,2.5970157965716117e-06
114831,完分,ad,2.5970157965716117e-06
117423,小遍,ad,2.5970157965716117e-06
121001,顺力,ad,2.5970157965716117e-06
122429,及力,ad,2.5970157965716117e-06
124831,显细,ad,2.5970157965716117e-06
125448,正跃,ad,2.5970157965716117e-06
125768,狼跃,ad,2.5970157965716117e-06
127257,突分,ad,2.5970157965716117e-06
129562,狼格,ad,2.5970157965716117e-06
131225,努接,ad,2.5970157965716117e-06
132238,均极,ad,2.5970157965716117e-06
132308,密善,ad,2.5970157965716117e-06
133784,盲心,ad,2.5970157965716117e-06
134325,积诚,ad,2.5970157965716117e-06
135759,完真,ad,2.5970157965716117e-06
138442,充忙,ad,2.5970157965716117e-06
139107,直忙,ad,2.5970157965716117e-06
141236,认分,ad,2.5970157965716117e-06
143432,随开,ad,2.5970157965716117e-06
143504,顺接,ad,2.5970157965716117e-06
145515,及密,ad,2.5970157965716117e-06
145594,肮三,ad,2.5970157965716117e-06
145808,确然,ad,2.5970157965716117e-06
150039,稳速,ad,2.5970157965716117e-06
150104,过极,ad,2.5970157965716117e-06
150513,顺然,ad,2.5970157965716117e-06
151053,热遍,ad,2.5970157965716117e-06
152723,明式,ad,2.5680078601281565e-06
153392,积愤,ad,2.5424210468164922e-06
156761,密实,ad,2.431450907604614e-06
158628,全心,ad,2.3482508847730236e-06
160225,全时,ad,2.247386606284966e-06
