,keyword,pos,weight
2,没有,v,0.015322467254857218
5,进行,v,0.01285187247749534
6,考生,v,0.012572226120692283
10,可能,v,0.010052233186319592
15,招生,v,0.009249306794892614
16,认为,v,0.009014610902428808
19,需要,v,0.00840531539659755
23,相关,v,0.008129775364440152
25,要求,v,0.0079576604857622
26,开始,v,0.007919303906141359
27,成为,v,0.007775445216980986
28,表示,v,0.0077265114902389485
35,选择,v,0.0071645764973005755
37,录取,v,0.007033592909780667
39,应该,v,0.006790109172701959
41,不能,v,0.006721250633889032
42,提供,v,0.006575545691745074
48,招聘,v,0.006330465851467669
49,发现,v,0.0063031641130139844
51,作为,v,0.006243211584436785
53,出现,v,0.006222854014942822
56,了解,v,0.005935595664559214
58,参加,v,0.005830825010466449
59,学习,v,0.00581693981331489
60,能够,v,0.0058090479452454664
62,使用,v,0.005593289201058506
63,希望,v,0.005534092065996314
64,包括,v,0.005505196173629577
67,还有,v,0.005313594233518982
69,达到,v,0.005151924422776746
73,进入,v,0.005078193916628588
74,知道,v,0.005072884429580618
77,报道,v,0.005008846220326016
78,不会,v,0.005004703829008181
79,获得,v,0.0049944158863211826
81,高考,v,0.004988372502580144
84,得到,v,0.004854360523139584
85,提高,v,0.004843948974927568
94,找到,v,0.004677350443577757
96,演习,v,0.004654223676565781
102,增加,v,0.004602532282556934
108,治疗,v,0.004539860801496831
110,具有,v,0.0045312411692503655
111,看到,v,0.0045136604649218676
113,组织,v,0.004508065048828566
115,准备,v,0.004467858374022392
116,是否,v,0.004456866612777149
119,觉得,v,0.0043901365043387845
121,发生,v,0.004354361060680199
123,面试,v,0.0043411967883382405
132,作战,v,0.004251925973933013
134,实现,v,0.004220289782842431
140,喜欢,v,0.004140110465556523
144,介绍,v,0.004083030875412306
145,接受,v,0.004079972292150723
147,表现,v,0.004070354849169993
151,完成,v,0.003968111199323494
155,决定,v,0.0038939099640993196
159,存在,v,0.0038623168699296008
160,知识,v,0.00386096007056291
162,提出,v,0.00382755464220619
164,增长,v,0.003808173959777819
171,考虑,v,0.00371411673766304
172,拥有,v,0.003711614985037231
175,就业,v,0.0036753229618401956
178,实施,v,0.0036196486184194524
182,造成,v,0.003553650650334678
183,继续,v,0.0035375920265469144
188,告诉,v,0.003487575384574634
197,超过,v,0.003432261029004193
198,收入,v,0.0034309230537253443
201,比如,v,0.0034198097565693265
203,复习,v,0.003393208329456684
205,关注,v,0.0033692355844883084
207,注意,v,0.003350715976323443
208,建立,v,0.0033422246481585377
210,才能,v,0.003334447148979654
211,帮助,v,0.0033226871246325083
215,解决,v,0.0033129947834116737
217,来自,v,0.003270502004993436
219,指出,v,0.0032332626129979317
225,作用,v,0.0032003166006828493
232,起来,v,0.0031582149820939287
236,支持,v,0.0031190516481566784
237,带来,v,0.0031105057454733492
239,形成,v,0.0030904699767335874
240,导致,v,0.0030880940559938445
242,面对,v,0.0030759631194040757
245,推出,v,0.003032055350649414
246,阅读,v,0.0030319143300328658
247,填报,v,0.0030288515376895044
248,举行,v,0.003006281355372595
251,简历,v,0.002990696102528887
252,培养,v,0.0029900022973036455
255,引起,v,0.002979154958247062
256,安排,v,0.002974885416863826
260,结束,v,0.0029637168724762288
261,出来,v,0.002960399923359324
263,显示,v,0.0029481847475622183
264,保持,v,0.0029443260540710707
265,受到,v,0.002940320746399095
266,控制,v,0.0029394185454779654
267,报考,v,0.0029329722474867527
268,开发,v,0.002931974418425876
271,创新,v,0.00292943368108104
273,只能,v,0.0029218831321411384
276,表决,v,0.002894447897150435
281,取得,v,0.002879075545466509
283,需求,v,0.0028767385051349684
285,保护,v,0.002868821855122177
288,加强,v,0.002842591040810758
293,行为,v,0.0028235569627763695
311,保证,v,0.002731805018310632
312,负责,v,0.002726707010224538
314,搜索,v,0.00272112899674103
315,联合,v,0.002712429983176919
320,审议,v,0.002670872950503529
326,执行,v,0.0026200988074999926
327,采用,v,0.0026187342990466973
328,改变,v,0.00260539456687273
329,理解,v,0.002586391298823793
333,求职,v,0.002560486333072504
336,对手,v,0.0025493971852494257
339,采访,v,0.0025398872219006704
361,处理,v,0.002444909232436848
362,透露,v,0.002442864015859896
365,公布,v,0.002440120402022599
366,投入,v,0.0024337417735552217
368,坚持,v,0.0024189128443086777
371,适合,v,0.002405475863657393
372,肯定,v,0.002401532638196187
374,召开,v,0.0023992765794018213
376,说明,v,0.0023936815492902833
378,感到,v,0.00237992332840259
388,独立,v,0.0023338584517365152
390,确定,v,0.002330519623545616
391,采取,v,0.002329845773331442
399,相信,v,0.00230228545646325
400,参与,v,0.0022988846831576088
402,掌握,v,0.002290805494189084
405,满足,v,0.00228739777560705
408,保障,v,0.0022716013144905784
409,减少,v,0.002271567150649593
412,推荐,v,0.0022614024599339516
414,购买,v,0.0022479299129362926
415,飞行,v,0.0022442645767986637
418,缺乏,v,0.0022400793538783093
420,应用,v,0.0022392324774020214
427,沟通,v,0.0022145218802629395
428,不到,v,0.002212957391121185
433,攻击,v,0.0021688654238105447
436,报名,v,0.0021611441620729
441,享受,v,0.0021326037036046106
442,宣布,v,0.0021309504653880037
444,发布,v,0.002113956773873641
445,属于,v,0.0021137305552266813
448,认识,v,0.0020999097780254735
450,提升,v,0.0020877382620682118
455,强调,v,0.0020592223152381688
456,打击,v,0.002055445114211809
457,愿意,v,0.002055142465712792
461,具备,v,0.0020410003163694687
463,自主,v,0.0020378973593452917
464,符合,v,0.002035846279522268
465,下降,v,0.0020346909888422993
466,吸引,v,0.0020334591190179748
467,发挥,v,0.0020326828410938873
469,面临,v,0.002027733484737757
472,相比,v,0.002018039644511092
474,制定,v,0.0020053929307466125
479,表决权,v,0.001994727500295985
483,应当,v,0.0019791587594644457
486,创造,v,0.001972489076014095
487,申请,v,0.0019719454140812043
491,处于,v,0.0019601464956881965
495,体现,v,0.001955482060914094
499,开展,v,0.0019338854736890595
506,位置,v,0.001918144430383186
507,做出,v,0.0019154658037831794
508,披露,v,0.0019128117666044125
510,展示,v,0.0019041072495600737
512,集中,v,0.0019004438175061688
516,用于,v,0.001893094004892934
520,从事,v,0.0018781981727843634
521,表明,v,0.001873519297174509
524,降低,v,0.001869264426435237
526,实行,v,0.001858001583960916
530,提醒,v,0.0018481156471136242
531,做好,v,0.0018466184965705472
532,得分,v,0.0018426090312806047
534,放弃,v,0.0018384824950543645
537,结合,v,0.0018288559651674146
544,支付,v,0.0018166397579690984
551,重视,v,0.001799464855040985
558,在于,v,0.0017855911921149461
559,制造,v,0.0017851350776923887
561,解释,v,0.0017846088869212001
565,感受,v,0.0017701949823322328
567,承诺,v,0.0017651662782586382
573,遇到,v,0.0017546627690308847
576,通知,v,0.0017524824138475444
579,变成,v,0.001749640740217854
581,加上,v,0.0017415170942942531
584,据悉,v,0.00172500417201591
587,成立,v,0.0017222312218165084
589,使得,v,0.0017174000703131143
590,维护,v,0.0017151152746640377
594,适应,v,0.0017108224588179037
598,追求,v,0.0016994457971634086
601,反映,v,0.0016922260519526722
603,进攻,v,0.0016848166598612336
605,离开,v,0.0016797814749864954
606,做到,v,0.0016777505573425506
607,促进,v,0.0016743668322859331
609,有着,v,0.0016683364431112832
611,认证,v,0.0016640735442900406
612,实习,v,0.0016625612428785381
615,举办,v,0.0016609016189582583
618,展开,v,0.001658007989276321
622,涉及,v,0.0016509335210647385
624,接触,v,0.0016473118969643975
626,指挥,v,0.0016462025526438157
627,限制,v,0.0016443586913412723
634,选手,v,0.0016287227632640548
649,避免,v,0.0016083714026815714
650,收购,v,0.0016072486138929034
656,值得,v,0.0015935330591044345
661,表达,v,0.0015894377062528537
662,意味着,v,0.0015893287290564297
664,来到,v,0.001586478705001978
665,扩大,v,0.0015824530413071271
666,招收,v,0.0015819051779052242
667,开放,v,0.0015817926726417629
673,失去,v,0.001573349560979269
676,发表,v,0.0015684804119269428
680,提前,v,0.001562720491571917
682,增强,v,0.0015616085568830513
683,类似,v,0.001558833186145947
684,回答,v,0.0015581766099150539
685,采购,v,0.0015534793841337497
686,讨论,v,0.0015528704567433682
687,相应,v,0.0015497088074722081
693,征集,v,0.00153594321674682
694,担心,v,0.0015356200958295525
700,应聘,v,0.001525987146039349
703,上升,v,0.0015226518157726754
707,突出,v,0.0015050033165965157
708,发射,v,0.001503454540945606
709,完善,v,0.0015030274333451734
710,推进,v,0.0014993641524973348
712,不够,v,0.0014969156112900153
715,不可,v,0.00148908196314343
716,承担,v,0.0014887332902182339
720,统计,v,0.0014770207037026323
721,批准,v,0.0014769115887196735
724,持有,v,0.0014725518245138818
725,实在,v,0.001471488005609581
726,作出,v,0.0014691817497595842
728,寻找,v,0.0014617169072197052
729,加入,v,0.0014613670558136943
731,例如,v,0.0014553112136710244
734,发行,v,0.0014505988428086354
742,补充,v,0.0014360555198601906
743,联想,v,0.0014335554838257427
753,思考,v,0.0014256004859340456
754,实践,v,0.0014246416370538037
755,给予,v,0.0014240978385248227
756,看来,v,0.0014238319906715638
757,说法,v,0.0014222152779142462
